YEAR,HS,SECTOR,PRODUCT DESCRIPTION,IMPORT (RM Million)
2017,84,MACHINERY & TECHNOLOGY,MACHINERY,98059.22
2017,85,MACHINERY & TECHNOLOGY,ELECTRICAL MACHINERY,235000.00
2017,86,TRANSPORT & HOUSEHOLD,RAILWAY EQUIPMENT,431.76
2017,87,TRANSPORT & HOUSEHOLD,VEHICLES,23514.47
2017,88,TRANSPORT & HOUSEHOLD,AIRCRAFT,12606.83
2017,89,TRANSPORT & HOUSEHOLD,SHIPS AND BOATS,5131.39
2017,90,MACHINERY & TECHNOLOGY,PRECISION INSTRUMENTS,23970.19
2017,94,TRANSPORT & HOUSEHOLD,FURNITURE,4600.10
2017,95,MACHINERY & TECHNOLOGY,TOYS AND SPORTS GOODS,2384.89
2018,10,AGRICULTURE & FOOD,CEREALS,6606.76
2018,15,AGRICULTURE & FOOD,FATS AND OILS,6905.38
2018,18,AGRICULTURE & FOOD,COCOA,4370.43
2018,21,AGRICULTURE & FOOD,FOOD PREPARATIONS,4169.41
2018,23,AGRICULTURE & FOOD,ANIMAL FODDER,4573.21
2018,25,ENERGY & RESOURCES,SALT AND CEMENT,1931.25
2018,26,ENERGY & RESOURCES,ORES AND SLAG,9767.28
2018,27,ENERGY & RESOURCES,MINERAL FUELS,127000.00
2018,29,CHEMICAL ,ORGANIC CHEMICALS,17991.01
2018,30,CHEMICAL ,PHARMACEUTICAL PRODUCTS,6000.16
2018,31,CHEMICAL ,FERTILISERS,4395.78
2018,32,CHEMICAL ,DYES AND PIGMENTS,3559.73
2018,38,CHEMICAL ,CHEMICAL PRODUCTS,15319.04
2018,39,POLYMERS & MATERIALS,PLASTICS,35460.05
2018,40,POLYMERS & MATERIALS,RUBBER,15021.57
2018,44,POLYMERS & MATERIALS,WOOD PRODUCT,3442.77
2018,47,POLYMERS & MATERIALS,PULP AND WASTE PAPER,912.35
2018,48,POLYMERS & MATERIALS,PAPER AND PAPERBOARD,8460.36
2018,52,CONSUMER GOODS,COTTON,2374.32
2018,61,CONSUMER GOODS,KNITTED APPAREL,4085.97
2018,62,CONSUMER GOODS,NON-KNITTED APPAREL,2923.61
2018,63,CONSUMER GOODS,TEXTILE ARTICLES,2077.51
2018,64,CONSUMER GOODS,FOOTWEAR,2812.63
2018,68,ENERGY & RESOURCES,ARTICLES OF STONE AND CEMENT,1266.74
2018,70,ENERGY & RESOURCES,GLASS AND GLASSWARE,4165.28
2018,71,METALS,PRECIOUS METALS,19380.50
2018,72,METALS,IRON AND STEEL,26699.96
2018,73,METALS,ARTICLES OF IRON OR STEEL,11958.94
2018,74,METALS,COPPER,15473.66
2018,76,METALS,ALUMINIUM,14445.95
2018,83,MACHINERY & TECHNOLOGY,MISCELLANEOUS METAL ARTICLES,1813.20
2018,84,MACHINERY & TECHNOLOGY,MACHINERY,93205.73
2018,85,MACHINERY & TECHNOLOGY,ELECTRICAL MACHINERY,246000.00
2018,86,TRANSPORT & HOUSEHOLD,RAILWAY EQUIPMENT,1172.02
2018,87,TRANSPORT & HOUSEHOLD,VEHICLES,25623.86
2018,88,TRANSPORT & HOUSEHOLD,AIRCRAFT,15906.24
2018,89,TRANSPORT & HOUSEHOLD,SHIPS AND BOATS,2853.21
2018,90,MACHINERY & TECHNOLOGY,PRECISION INSTRUMENTS,22240.51
2018,94,TRANSPORT & HOUSEHOLD,FURNITURE,4400.92
2018,95,MACHINERY & TECHNOLOGY,TOYS AND SPORTS GOODS,1948.31
2019,10,AGRICULTURE & FOOD,CEREALS,6792.45
2019,15,AGRICULTURE & FOOD,FATS AND OILS,6772.27
2019,18,AGRICULTURE & FOOD,COCOA,4677.87
2019,21,AGRICULTURE & FOOD,FOOD PREPARATIONS,4399.89
2019,23,AGRICULTURE & FOOD,ANIMAL FODDER,4500.15
2019,25,ENERGY & RESOURCES,SALT AND CEMENT,2115.27
2019,26,ENERGY & RESOURCES,ORES AND SLAG,10554.09
2019,27,ENERGY & RESOURCES,MINERAL FUELS,124000.00
2019,29,CHEMICAL ,ORGANIC CHEMICALS,15804.62
2019,30,CHEMICAL ,PHARMACEUTICAL PRODUCTS,6820.74
2019,31,CHEMICAL ,FERTILISERS,3370.17
2019,32,CHEMICAL ,DYES AND PIGMENTS,3385.71
2019,38,CHEMICAL ,CHEMICAL PRODUCTS,15333.46
2019,39,POLYMERS & MATERIALS,PLASTICS,37006.92
2019,40,POLYMERS & MATERIALS,RUBBER,14924.48
2019,44,POLYMERS & MATERIALS,WOOD PRODUCT,3189.01
2019,47,POLYMERS & MATERIALS,PULP AND WASTE PAPER,1747.29
2019,48,POLYMERS & MATERIALS,PAPER AND PAPERBOARD,8197.99
2019,52,CONSUMER GOODS,COTTON,2145.65
2019,61,CONSUMER GOODS,KNITTED APPAREL,3562.34
2019,62,CONSUMER GOODS,NON-KNITTED APPAREL,2694.35
2019,63,CONSUMER GOODS,TEXTILE ARTICLES,1731.32
2019,64,CONSUMER GOODS,FOOTWEAR,2591.61
2019,68,ENERGY & RESOURCES,ARTICLES OF STONE AND CEMENT,1298.20
2019,70,ENERGY & RESOURCES,GLASS AND GLASSWARE,3930.13
2019,71,METALS,PRECIOUS METALS,16580.87
2019,72,METALS,IRON AND STEEL,27410.70
2019,73,METALS,ARTICLES OF IRON OR STEEL,11437.84
2019,74,METALS,COPPER,14573.11
2019,76,METALS,ALUMINIUM,15052.86
2019,83,MACHINERY & TECHNOLOGY,MISCELLANEOUS METAL ARTICLES,1730.09
2019,84,MACHINERY & TECHNOLOGY,MACHINERY,86078.00
2019,85,MACHINERY & TECHNOLOGY,ELECTRICAL MACHINERY,231000.00
2019,86,TRANSPORT & HOUSEHOLD,RAILWAY EQUIPMENT,641.36
2019,87,TRANSPORT & HOUSEHOLD,VEHICLES,26868.74
2019,88,TRANSPORT & HOUSEHOLD,AIRCRAFT,12830.82
2019,89,TRANSPORT & HOUSEHOLD,SHIPS AND BOATS,775.84
2019,90,MACHINERY & TECHNOLOGY,PRECISION INSTRUMENTS,23377.26
2019,94,TRANSPORT & HOUSEHOLD,FURNITURE,4509.16
2019,95,MACHINERY & TECHNOLOGY,TOYS AND SPORTS GOODS,2109.10
